week_start_utc,week_end_utc,recorded_engine,is_partial_week,homepage_captures,ocr_completed,ocr_coverage_pct,canonical_govote_positive,canonical_govote_per_100_homepages,canonical_govote_per_100_ocred,exact_go_vote_phrase_positive,exact_go_vote_phrase_per_100_homepages,exact_go_vote_phrase_per_100_ocred,snapshot_cutoff_utc,classifier_version
2026-03-30T00:00:00Z,2026-04-06T00:00:00Z,All,true,10,10,100.000000,0,0.000000,0.000000,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-04-06T00:00:00Z,2026-04-13T00:00:00Z,All,false,381,378,99.212598,3,0.787402,0.793651,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-04-13T00:00:00Z,2026-04-20T00:00:00Z,All,false,962,960,99.792100,13,1.351351,1.354167,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-04-20T00:00:00Z,2026-04-27T00:00:00Z,All,false,917,916,99.890949,8,0.872410,0.873362,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-04-27T00:00:00Z,2026-05-04T00:00:00Z,All,false,968,966,99.793388,15,1.549587,1.552795,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-05-04T00:00:00Z,2026-05-11T00:00:00Z,All,false,833,831,99.759904,22,2.641056,2.647413,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-05-11T00:00:00Z,2026-05-18T00:00:00Z,All,false,428,153,35.747664,0,0.000000,0.000000,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-05-18T00:00:00Z,2026-05-25T00:00:00Z,All,false,458,458,100.000000,13,2.838428,2.838428,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-05-25T00:00:00Z,2026-06-01T00:00:00Z,All,false,478,478,100.000000,11,2.301255,2.301255,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-06-01T00:00:00Z,2026-06-08T00:00:00Z,All,false,644,644,100.000000,25,3.881988,3.881988,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,All,false,486,486,100.000000,15,3.086420,3.086420,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,All,false,480,480,100.000000,7,1.458333,1.458333,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-06-22T00:00:00Z,2026-06-29T00:00:00Z,All,false,710,710,100.000000,3,0.422535,0.422535,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-06-29T00:00:00Z,2026-07-06T00:00:00Z,All,false,586,586,100.000000,11,1.877133,1.877133,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-07-06T00:00:00Z,2026-07-13T00:00:00Z,All,false,486,486,100.000000,5,1.028807,1.028807,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-07-13T00:00:00Z,2026-07-20T00:00:00Z,All,false,622,622,100.000000,32,5.144695,5.144695,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-07-20T00:00:00Z,2026-07-27T00:00:00Z,All,false,782,782,100.000000,10,1.278772,1.278772,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-07-27T00:00:00Z,2026-08-03T00:00:00Z,All,false,810,810,100.000000,10,1.234568,1.234568,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-08-03T00:00:00Z,2026-08-10T00:00:00Z,All,false,1139,878,77.085162,72,6.321335,8.200456,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-08-10T00:00:00Z,2026-08-17T00:00:00Z,All,true,187,0,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2026-08-11T09:37:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
