week_start_utc,week_end_utc,recorded_engine,is_partial_week,homepage_captures,ocr_completed,ocr_coverage_pct,canonical_govote_positive,canonical_govote_per_100_homepages,canonical_govote_per_100_ocred,exact_go_vote_phrase_positive,exact_go_vote_phrase_per_100_homepages,exact_go_vote_phrase_per_100_ocred,snapshot_cutoff_utc,classifier_version
2026-03-30T00:00:00Z,2026-04-06T00:00:00Z,Bing,true,5,5,100.000000,0,0.000000,0.000000,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-04-06T00:00:00Z,2026-04-13T00:00:00Z,Bing,false,74,71,95.945946,1,1.351351,1.408451,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-04-13T00:00:00Z,2026-04-20T00:00:00Z,Bing,false,156,154,98.717949,2,1.282051,1.298701,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-04-20T00:00:00Z,2026-04-27T00:00:00Z,Bing,false,157,156,99.363057,4,2.547771,2.564103,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-04-27T00:00:00Z,2026-05-04T00:00:00Z,Bing,false,165,163,98.787879,0,0.000000,0.000000,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-05-04T00:00:00Z,2026-05-11T00:00:00Z,Bing,false,139,137,98.561151,9,6.474820,6.569343,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-05-11T00:00:00Z,2026-05-18T00:00:00Z,Bing,false,73,36,49.315068,0,0.000000,0.000000,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-05-18T00:00:00Z,2026-05-25T00:00:00Z,Bing,false,77,77,100.000000,4,5.194805,5.194805,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-05-25T00:00:00Z,2026-06-01T00:00:00Z,Bing,false,119,119,100.000000,7,5.882353,5.882353,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-06-01T00:00:00Z,2026-06-08T00:00:00Z,Bing,false,173,173,100.000000,14,8.092486,8.092486,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,Bing,false,128,128,100.000000,6,4.687500,4.687500,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,Bing,false,122,122,100.000000,6,4.918033,4.918033,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-06-22T00:00:00Z,2026-06-29T00:00:00Z,Bing,false,183,183,100.000000,1,0.546448,0.546448,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-06-29T00:00:00Z,2026-07-06T00:00:00Z,Bing,false,161,161,100.000000,5,3.105590,3.105590,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-07-06T00:00:00Z,2026-07-13T00:00:00Z,Bing,false,123,123,100.000000,3,2.439024,2.439024,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-07-13T00:00:00Z,2026-07-20T00:00:00Z,Bing,false,163,163,100.000000,5,3.067485,3.067485,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-07-20T00:00:00Z,2026-07-27T00:00:00Z,Bing,false,209,209,100.000000,5,2.392344,2.392344,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-07-27T00:00:00Z,2026-08-03T00:00:00Z,Bing,false,217,217,100.000000,2,0.921659,0.921659,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-08-03T00:00:00Z,2026-08-10T00:00:00Z,Bing,false,284,219,77.112676,31,10.915493,14.155251,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
2026-08-10T00:00:00Z,2026-08-17T00:00:00Z,Bing,true,257,25,9.727626,0,0.000000,0.000000,0,0.000000,0.000000,2026-08-15T09:26:10Z,canonical-vote-election-poll-v1+exact-go-vote-v1
